journal,pub_year,paper_count
Biorxiv,2014,4
Biorxiv,2015,3
Biorxiv,2016,14
Biorxiv,2017,31
Biorxiv,2018,93
Biorxiv,2019,170
Biorxiv,2020,3450
Biorxiv,2021,3719
Biorxiv,2022,1389
Bmj,2009,6
Bmj,2010,1
Bmj,2013,1
Bmj,2014,1
Bmj,2017,1
Bmj,2019,3
Bmj,2020,1686
Bmj,2021,1123
Bmj,2022,181
Bmj Open,2011,1
Bmj Open,2012,1
Bmj Open,2013,4
Bmj Open,2014,5
Bmj Open,2015,3
Bmj Open,2016,7
Bmj Open,2017,9
Bmj Open,2018,10
Bmj Open,2019,27
Bmj Open,2020,467
Bmj Open,2021,1595
Bmj Open,2022,892
Cureus,2018,1
Cureus,2019,5
Cureus,2020,664
Cureus,2021,1527
Cureus,2022,761
Front Immunol,2012,4
Front Immunol,2013,8
Front Immunol,2014,8
Front Immunol,2015,16
Front Immunol,2016,12
Front Immunol,2017,37
Front Immunol,2018,60
Front Immunol,2019,70
Front Immunol,2020,409
Front Immunol,2021,1331
Front Immunol,2022,718
Front Psychol,2016,1
Front Psychol,2017,1
Front Psychol,2020,377
Front Psychol,2021,1838
Front Psychol,2022,1048
Front Public Health,2014,4
Front Public Health,2015,5
Front Public Health,2016,3
Front Public Health,2017,6
Front Public Health,2018,5
Front Public Health,2019,10
Front Public Health,2020,362
Front Public Health,2021,1232
Front Public Health,2022,813
Int J Environ Res Public Health,2010,3
Int J Environ Res Public Health,2012,2
Int J Environ Res Public Health,2013,2
Int J Environ Res Public Health,2014,4
Int J Environ Res Public Health,2015,5
Int J Environ Res Public Health,2016,10
Int J Environ Res Public Health,2017,7
Int J Environ Res Public Health,2018,12
Int J Environ Res Public Health,2019,20
Int J Environ Res Public Health,2020,1277
Int J Environ Res Public Health,2021,4525
Int J Environ Res Public Health,2022,2329
Int J Mol Sci,2008,3
Int J Mol Sci,2010,3
Int J Mol Sci,2011,4
Int J Mol Sci,2012,8
Int J Mol Sci,2013,3
Int J Mol Sci,2014,6
Int J Mol Sci,2015,5
Int J Mol Sci,2016,14
Int J Mol Sci,2017,16
Int J Mol Sci,2018,27
Int J Mol Sci,2019,28
Int J Mol Sci,2020,390
Int J Mol Sci,2021,1194
Int J Mol Sci,2022,600
J Clin Med,2017,2
J Clin Med,2018,4
J Clin Med,2019,4
J Clin Med,2020,356
J Clin Med,2021,1041
J Clin Med,2022,528
Plos One,2006,5
Plos One,2007,20
Plos One,2008,33
Plos One,2009,56
Plos One,2010,62
Plos One,2011,165
Plos One,2012,224
Plos One,2013,208
Plos One,2014,198
Plos One,2015,191
Plos One,2016,158
Plos One,2017,123
Plos One,2018,101
Plos One,2019,93
Plos One,2020,1012
Plos One,2021,3061
Plos One,2022,1436
Reactions Weekly,2020,568
Reactions Weekly,2021,1822
Reactions Weekly,2022,1308
Sci Rep,2011,1
Sci Rep,2013,9
Sci Rep,2014,13
Sci Rep,2015,71
Sci Rep,2016,145
Sci Rep,2017,145
Sci Rep,2018,96
Sci Rep,2019,101
Sci Rep,2020,517
Sci Rep,2021,2067
Sci Rep,2022,986
Vaccines (Basel),2013,1
Vaccines (Basel),2014,3
Vaccines (Basel),2015,1
Vaccines (Basel),2016,2
Vaccines (Basel),2017,5
Vaccines (Basel),2018,3
Vaccines (Basel),2019,20
Vaccines (Basel),2020,172
Vaccines (Basel),2021,1005
Vaccines (Basel),2022,607
Viruses,2009,17
Viruses,2010,18
Viruses,2011,17
Viruses,2012,43
Viruses,2013,19
Viruses,2014,29
Viruses,2015,52
Viruses,2016,52
Viruses,2017,49
Viruses,2018,94
Viruses,2019,183
Viruses,2020,375
Viruses,2021,1100
Viruses,2022,522
