pub_year,pub_month,year_month,paper_count
1990,1,1990-01,10
1990,2,1990-02,4
1990,3,1990-03,8
1990,4,1990-04,11
1990,5,1990-05,8
1990,6,1990-06,3
1990,7,1990-07,10
1990,8,1990-08,11
1990,9,1990-09,3
1990,10,1990-10,6
1990,11,1990-11,5
1990,12,1990-12,10
1991,1,1991-01,9
1991,2,1991-02,4
1991,3,1991-03,4
1991,4,1991-04,5
1991,5,1991-05,8
1991,6,1991-06,11
1991,7,1991-07,17
1991,8,1991-08,12
1991,9,1991-09,4
1991,10,1991-10,8
1991,11,1991-11,8
1991,12,1991-12,16
1992,1,1992-01,14
1992,2,1992-02,14
1992,3,1992-03,5
1992,4,1992-04,7
1992,5,1992-05,9
1992,6,1992-06,13
1992,7,1992-07,9
1992,8,1992-08,9
1992,9,1992-09,10
1992,10,1992-10,8
1992,11,1992-11,13
1992,12,1992-12,17
1993,1,1993-01,10
1993,2,1993-02,6
1993,3,1993-03,6
1993,4,1993-04,1
1993,5,1993-05,13
1993,6,1993-06,7
1993,7,1993-07,7
1993,8,1993-08,6
1993,9,1993-09,3
1993,10,1993-10,5
1993,11,1993-11,7
1993,12,1993-12,12
1994,1,1994-01,6
1994,2,1994-02,3
1994,3,1994-03,4
1994,4,1994-04,4
1994,5,1994-05,8
1994,6,1994-06,3
1994,7,1994-07,1
1994,8,1994-08,7
1994,9,1994-09,12
1994,10,1994-10,17
1994,11,1994-11,5
1994,12,1994-12,16
1995,1,1995-01,11
1995,2,1995-02,4
1995,3,1995-03,3
1995,4,1995-04,12
1995,5,1995-05,3
1995,6,1995-06,8
1995,7,1995-07,4
1995,8,1995-08,3
1995,9,1995-09,9
1995,10,1995-10,5
1995,11,1995-11,10
1995,12,1995-12,16
1996,1,1996-01,6
1996,2,1996-02,3
1996,3,1996-03,7
1996,4,1996-04,7
1996,5,1996-05,2
1996,6,1996-06,7
1996,7,1996-07,7
1996,8,1996-08,11
1996,9,1996-09,6
1996,10,1996-10,3
1996,11,1996-11,6
1996,12,1996-12,25
1997,1,1997-01,9
