keyword,frequency
sarscov,46486
review,22567
care,21107
respiratory,14091
acute,13081
risk,12940
treatment,12086
vaccine,11999
systematic,11272
syndrome,10699
cancer,10669
response,10420
human,10175
severe,10023
against,9914
report,9873
management,9697
children,9169
vaccination,9043
social,8974
outcomes,8904
factors,8900
patient,8790
model,8763
novel,8675
detection,8401
viral,8263
potential,8010
healthcare,8001
medical,7986
development,7814
mental,7766
research,7680
system,7560
hospital,7500
learning,7414
mortality,7407
evaluation,7376
cell,7223
china,7173
adults,7085
trial,6952
survey,6916
therapy,6901
cohort,6864
public,6786
protein,6720
approach,6660
outbreak,6569
infections,6567
early,6485
cells,6387
diseases,6331
global,6175
pneumonia,6114
crosssectional,6042
experience,6013
workers,5983
time,5840
influenza,5798
assessment,5798
emergency,5793
immune,5779
students,5776
lung,5761
metaanalysis,5752
first,5687
transmission,5535
control,5507
activity,5431
association,5358
protocol,5259
evidence,5240
rapid,5191
challenges,5152
lockdown,5112
epidemic,5021
surgery,4963
testing,4962
quality,4956
molecular,4923
retrospective,4827
people,4813
characteristics,4785
education,4714
population,4690
diagnosis,4673
safety,4586
antibody,4570
their,4505
following,4494
practice,4449
infectious,4446
strategies,4434
randomized,4426
responses,4413
vaccines,4408
what,4393
community,4386
future,4371
